player_id,weights,Player Name,Market Value (mln €)
5231.0,0.0,Karim Ansarifard,47.8
5232.0,-0.2,Mbark Boussoufa,40.7
5234.0,-0.1,Sofyan Amrabat,42.1
5235.0,-0.5,Ramin Rezaeian,30.7
5236.0,-0.1,Karim El Ahmadi Al Aroos,42.5
5237.0,-0.4,Hakim Ziyech,34.2
5238.0,-0.3,Masoud Shojaei Soleimani,38.4
5239.0,-0.1,Alireza Jahanbakhsh,42.4
5240.0,0.0,Saman Ghoddos,48.1
5241.0,-0.2,Vahid Amiri,38.7
5242.0,-0.1,Younès Belhanda,43.1
5243.0,-0.1,Amine Harit,42.7
5244.0,-0.2,Medhi Amine El Mouttaqi Benatia,38.7
5245.0,-0.3,Achraf Hakimi Mouh,38.2
5246.0,0.3,Luis Alberto Suárez Díaz,56.0
5247.0,-0.2,Nahitan Michel Nández Acosta,39.6
5248.0,-0.8,José Martín Cáceres Silva,21.2
5249.0,-0.3,Diego Roberto Godín Leal,37.0
5250.0,-0.6,Ahmed Fathy Abdel Meneim Ibrahim,27.6
5251.0,-0.3,Abdalla Mahmoud El Said Bekhit,38.4
5252.0,-0.2,Marwan Mohsen,41.3
5253.0,-0.3,Amr Medhat Warda,38.0
5254.0,-0.3,Ali Gabr,37.7
5255.0,-0.3,Matías Vecino Falero,38.4
5256.0,-0.1,Cristian Gabriel Rodríguez Barrotti,42.9
5257.0,0.0,Mahmoud Abdul Monem Abdelhamid Soliman,48.3
5258.0,-0.1,Giorgian Daniel De Arrascaeta Benedetti,44.1
5259.0,-0.1,José María Giménez de Vargas,44.6
5260.0,-0.1,Rodrigo Bentancur Colmán,43.0
5261.0,-0.1,Mahmoud Ibrahim Hassan,44.3
5262.0,-0.2,Tarek Hamed,40.6
5263.0,-0.5,Mohamed Abdul Shafy Sayed Abouezeid,30.8
5264.0,-0.1,Guillermo Varela Olivera,43.1
5266.0,-0.4,Lucas Torreira Di Pascua,34.6
5268.0,-0.3,Carlos Andrés Sánchez Arcosa,37.1
5455.0,-0.3,William Troost-Ekong,38.4
5456.0,-0.0,Mateo Kovačić,45.5
5457.0,-0.5,Ivan Strinić,28.4
5458.0,0.2,Odion Jude Ighalo,54.3
5459.0,0.0,Marko Pjaca,48.3
5460.0,0.1,Andrej Kramarić,48.7
5461.0,-0.6,Šime Vrsaljko,26.9
5462.0,-0.3,Brian Oladapo Idowu,37.1
5463.0,-0.2,Luka Modrić,41.0
5464.0,0.0,Simeon Tochukwu Nwankwo,48.0
5465.0,-0.1,Ante Rebić,43.3
5466.0,-0.1,Oghenekaro Etebo,45.1
5467.0,-0.4,Leon Aderemi Balogun,32.5
5468.0,-0.1,Domagoj Vida,43.8
5469.0,-0.1,Marcelo Brozović,43.1
5470.0,-0.2,Ivan Rakitić,40.3
5471.0,-0.1,Abdullahi Shehu,45.2
5472.0,0.1,Mario Mandžukić,50.4
5473.0,0.0,Ahmed Musa,48.0
5474.0,-0.1,Ivan Perišić,43.1
5475.0,-0.4,John Michael Nchekwube Obinna,33.3
5476.0,-0.4,Benjamin Pavard,33.3
5477.0,-0.2,Ousmane Dembélé,41.7
5478.0,-0.2,Trent Sainsbury,40.8
5479.0,-0.5,Aziz Eraltay Behich,31.1
5480.0,0.0,Corentin Tolisso,48.4
5481.0,-0.2,Mathew Leckie,40.0
5482.0,-0.5,Josh Risdon,29.3
5483.0,-0.1,Daniel Arzani,44.8
5484.0,-0.2,Lucas Hernández Pi,40.7
5485.0,-0.1,Raphaël Varane,43.3
5486.0,0.3,Andrew Nabbout,56.5
5487.0,-0.3,Antoine Griezmann,36.9
5488.0,-0.3,Mark Milligan,38.0
5489.0,-0.2,Mile Jedinak,40.6
5490.0,-0.1,Jackson Irvine,43.4
5491.0,0.0,Tom Rogić,47.0
5492.0,-0.0,Samuel Yves Umtiti,46.2
5493.0,-0.1,Tomi Jurić,45.1
5494.0,-0.1,Robbie Kruse,42.0
5495.0,-0.1,Rúrik Gíslason,42.6
5496.0,-0.3,Cristian David Pavón,36.5
5497.0,0.2,Gonzalo Gerardo Higuaín,53.9
5499.0,-0.1,Maximiliano Eduardo Meza,43.5
5500.0,0.0,Björn Bergmann Sigurðarson,47.1
5501.0,-0.6,Hörður Björgvin Magnússon,25.5
5502.0,0.0,Ari Freyr Skúlason,47.7
5503.0,-0.1,Lionel Andrés Messi Cuccittini,43.6
5504.0,-0.2,Éver Maximiliano David Banega,41.7
5505.0,-0.3,Kári Árnason,37.9
5506.0,-0.3,Javier Alejandro Mascherano,37.9
5507.0,-0.2,Nicolás Alejandro Tagliafico,40.4
5508.0,-0.4,Birkir Már Sævarsson,34.3
5509.0,-0.2,Birkir Bjarnason,40.7
5510.0,-0.1,Lucas Rodrigo Biglia,42.9
5511.0,-0.3,Ragnar Sigurðsson,37.9
5512.0,-0.1,Emil Hallfreðsson,44.8
5513.0,-0.3,Eduardo Antonio Salvio,38.2
5514.0,0.2,Alfreð Finnbogason,52.9
5515.0,-0.4,Aron Einar Gunnarsson,34.9
5516.0,0.0,Pione Sisto Ifolo Emirmija,47.9
5517.0,-0.1,William Vitved Kvist Jørgensen,43.3
5518.0,-0.6,Miguel Ángel Trauco Saavedra,25.2
5519.0,-0.1,Christian Alberto Cueva Bravo,43.0
5520.0,-0.3,Lasse Schöne,36.5
5521.0,-0.2,Luis Jan Piers Advíncula Castrillón,39.9
5522.0,0.2,Nicolai Jørgensen,52.2
5523.0,-0.1,Renato Fabrizio Tapia Cortijo,43.4
5524.0,-0.5,Jens Stryger Larsen,31.3
5525.0,-0.3,Édison Michael Flores Peralta,37.7
5526.0,-0.2,Pedro Jesús Aquino Sánchez,39.2
5527.0,-0.3,Thomas Delaney,37.8
5529.0,-0.3,Víctor Yoshimar Yotún Flores,35.2
5530.0,-0.2,Christian Guillermo Martín Ramos Garagay,40.4
5531.0,0.2,Jefferson Agustín Farfán Guadalupe,52.5
5532.0,-0.1,Alberto Junior Rodríguez Valdelomar,43.7
5533.0,0.0,Raúl Mario Ruidíaz Misitich,48.2
5534.0,-0.0,Simon Thorup Kjær,46.9
5535.0,0.3,José Paolo Guerrero Gonzáles,56.4
5536.0,-0.0,Yussuf Yurary Poulsen,45.6
5537.0,-0.1,Fabian Lukas Schär,44.6
5538.0,-0.1,Denis Lemi Zakaria Lako Lado,42.4
5539.0,-0.2,Carlos Henrique Casimiro,39.5
5540.0,-0.1,Valon Behrami,42.7
5541.0,-0.4,Stephan Lichtsteiner,34.5
5542.0,-0.1,José Paulo Bezzera Maciel Júnior,44.8
5543.0,0.2,Haris Seferović,53.2
5544.0,-0.5,Ricardo Iván Rodríguez Araya,30.2
5545.0,-0.0,Breel-Donald Embolo,46.8
5546.0,-0.3,Michael Lang,36.4
5548.0,-0.1,Steven Zuber,42.7
5549.0,-0.1,Manuel Obafemi Akanji,44.8
5551.0,-0.0,João Miranda de Souza Filho,45.3
5552.0,-0.3,Marcelo Vieira da Silva Júnior,35.5
5553.0,-0.0,Renato Soares de Oliveira Augusto,45.8
5554.0,0.0,Blerim Džemaili,47.7
5555.0,-0.0,Julian Brandt,45.9
5556.0,-0.3,Miguel Arturo Layún Prado,36.8
5557.0,-0.0,Timo Werner,45.8
5558.0,-0.0,Rafael Márquez Álvarez,45.6
5559.0,-0.1,Marco Reus,42.5
5560.0,-0.2,Carlos Alberto Vela Garrido,41.8
5561.0,-0.2,Hugo Ayala Castro,41.8
5562.0,-0.1,Thomas Müller,45.1
5563.0,-0.2,José Andrés Guardado Hernández,39.0
5564.0,-0.3,Carlos Joel Salcedo Hernández,35.6
5565.0,0.1,Mario Gómez García,48.8
5566.0,-0.2,Sami Khedira,38.9
5567.0,-0.3,Edson Omar Álvarez Velázquez,36.8
5568.0,-0.1,Raúl Alonso Jiménez Rodríguez,45.1
5569.0,-0.2,Marvin Plattenhardt,41.8
5571.0,-0.0,Hirving Rodrigo Lozano Bahena,46.9
5572.0,0.0,Mats Hummels,48.5
5573.0,-0.3,Héctor Alfredo Moreno Herrera,37.6
5574.0,-0.4,Toni Kroos,33.0
5575.0,-0.2,Héctor Miguel Herrera López,40.6
5576.0,-0.3,Jesús Daniel Gallardo Vasconcelos,38.2
5578.0,-0.3,Jérôme Boateng,37.7
5579.0,-0.3,Joshua Kimmich,35.4
5580.0,-0.3,Duško Tošić,38.4
5581.0,0.1,Joel Nathaniel Campbell Samuels,49.6
5582.0,-0.2,Celso Borges Mora,41.0
5583.0,0.0,Aleksandar Prijović,48.0
5584.0,-0.1,Giancarlo González Castro,43.6
5585.0,-0.2,Daniel Colindres Solera,40.5
5586.0,0.0,Marcos Danilo Ureña Porras,48.0
5587.0,-0.3,Adem Ljajić,38.2
5588.0,-0.3,Antonio Rukavina,37.0
5589.0,-0.3,Sergej Milinković-Savić,37.6
5590.0,-0.1,Johnny Acosta Zamora,44.8
5591.0,-0.3,Filip Kostić,37.5
5592.0,-0.1,Bryan Ruiz González,43.5
5593.0,-0.2,Christian Bolaños Navarro,40.3
5594.0,-0.4,Branislav Ivanović,32.1
5595.0,0.0,Johan Alberto Venegas Ulloa,48.1
5596.0,-0.5,Aleksandar Kolarov,30.8
5598.0,-0.2,Óscar Esau Duarte Gaitán,41.6
5599.0,-0.5,David Alberto Guzmán Pérez,31.2
5600.0,-0.1,Francisco Javier Calvo Quesada,42.6
5602.0,-0.1,Cristian Gamboa Luna,42.6
5603.0,-0.1,Nikola Milenković,45.2
5604.0,-0.0,Young-Gwon Kim,45.5
5605.0,-0.0,Oscar Hiljemark,45.4
5606.0,-0.1,Hyun-Soo Jang,43.1
5607.0,-0.1,Andreas Granqvist,45.2
5608.0,-0.5,Yong Lee,29.9
5609.0,-0.2,Joo-Ho Park,40.9
5610.0,-0.5,Min-Woo Kim,31.0
5611.0,-0.0,Gustav Svensson,45.7
5612.0,-0.5,Mikael Lustig,29.3
5613.0,0.0,Viktor Claesson,47.5
5615.0,-0.0,Isaac Kiese Thelin,45.7
5616.0,-0.1,Seung-Woo Lee,42.4
5617.0,-0.2,Sebastian Larsson,39.6
5618.0,-0.0,Woo-Young Jung,46.1
5620.0,-0.0,Hee-Chan Hwang,45.7
5621.0,-0.6,Ludwig Augustinsson,27.6
5623.0,-0.1,Jae-Sung Lee,43.9
5624.0,-0.1,Albin Ekdal,42.1
5625.0,0.0,Emil Peter Forsberg,47.5
5626.0,-0.1,Shin-Wook Kim,44.0
